Question	Answer	Need to update (Y/N)	Tags	Source	Annotator/Author	Expert approved? 
Any advice about how to minimize risk during grocery shopping trips or getting takeout. 	Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19.  Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects. For that reason, it is critical to wash your hands often, including utensils. Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. However, the virus that causes COVID-19 is spreading from person-to-person in some communities in the U.S. The CDC recommends that if you are sick, stay home until you are better and no longer pose a risk of infecting others. Anyone handling, preparing and serving food should always follow safe food handling procedures, such as washing hands and surfaces often.			FDA		
Also, what to do if you have no access to sanitizing wipes	IF NO ACCESS TO HAND SANITIZER: wash your hands frequently and thoroughly (this is the smartest thing you can do to prevent the spread of viruses), make sure that if you are able to buy a lesser-known brand of hand sanitizer that isn't Purell, it’s made of at least 60% alcohol, as recommended by the Centers for Disease Control and Prevention. (C.D.C.) (rules out some of the so-called “botanical” options and popular kid-friendly options), make sure that if you decide to try and make your own hand sanitizer, it also contains at least 60% alcohol. This recipe (two parts rubbing alcohol, one part aloe) sounds like it should achieve 60% alcohol. Keep in mind that some recipes call for using liquor (like vodka), which is usually 40% alcohol, and might not reach the threshold you need. For instance, Tito’s Vodka has been urging people not to use its product in DIY sanitizer solutions.			Wirecutter NY Times		
There have been a lot of mixed messages about kids being 'immune' or 'unlikely' to be affected. Can you provide some clarity around what this looks like for small children?	Currently, children are not at a higher risk of getting COVID-19 than adult. Some kids and infants have been sick with COVID-19, but it is still adults who make up most of the cases we are seeing today. If a child gets COVID-19, their symptoms are going to be similar to the symptoms adults get. This includes: cold-like symptoms like fever, runny nose, and cough. Vomiting and diarrhea are also possible.   [More information on how to stay safe and healthy] It is still important that your child help stop the spread of COVID-19 by practicing the same things you are doing to stay healthy and safe. This includes cleaning hands often with soap water, or an alcohol based hand sanitizer, avoiding people who ar sick, and cleaning/disinfecting high-touch surfaces regularly. 			CDC		
I'm pregnant... am I at risk for COVID-19? 	It does not look like pregnant women are more at risk of developing severe illness than other healthy adults from coronavirus. Currently, it is expected that most pregnant women will likely experience only mild to moderate cold and flu - like symptoms. 			RCOG UK 		
I'm currently giving birth at a hospital in several weeks. Are there things that I should clean myself just in case? Also should I bring my own pillow and sheets for the hospital bed?						
Can you answer questions about pregnancy (how will hospitals handle prenatal visits, csections, NICU, etc.) and those pregnant with additional health concerns (gestational diabetes, preeclampsia, etc.)? My OB and sonogram doctors are at UMB and I’m wondering if it’s worth the risk to go to some of my scheduled appointments. Are these nurses and doctors exempt from interacting with COVID-19 triaging and treatment?						
Should I be wearing a face mask to prevent me getting COVID-19?	Masks are only helpful in preventing people who have coronavirus (COVID19) from spreading it to others. If the person is healthy, there is likely no need for them to wear a face mask - as there is little evidence showing that these masks used by healthy people will prevent transmission to public.   If the person is coughing, sneezing, and exhibiting other symptoms of COVID-19, wearing a mask can be recommended. It is also recommended for those who are caring for someone who has or is suspected to have COVID-19. However, masks are only really effective if it is used in combination with frequent hand-washing with soap and water, or with an alcohol-based sanitizer.    			WHO		
Can we use fabric masks to prevent the spread? 	Face masks, including fabric ones, are only really helpful in preventing people who have coronavirus (COVID19) from spreading it to others. If the person is healthy, there is likely no need for them to wear a mask - as there is little evidence showing that these masks used by healthy people will prevent transmission to the public.  What masks can be useful in for the general public is reducing the amount of times a person touches their face, which means less opportunity for COVID19 to enter their body. This is because the mask is covering a significant amount of a person's face (namely the mouth and nose). This is the most effective practice when used in combination with frequent hand-washing with soap and water, or with an alcohol-based hand sanitizer.  However, these is a shortage of available face masks for health workers - which is dangerous as they are on the frontlines of this pandemic.   [More information]    			NYTimes		
There is a shortage of face masks for health workers? 	There are currently not enough face masks for health workers to use, which is dangerous as they are on the frontlines of this pandemic. This ranges from basic surgical masks to respirator masks. Health workers are also being asked to reuse them. This situation makes health workers vulnerable to becoming infected with COVID-19. If you have a surplus of face masks, it is currently recommended to donate that to your local healthcare facility. There have also been call to actions for individuals to create fabric face masks, which can be reusable, to donate to local healthcare facilities. 			NYTimes		
What are N95 respirators/masks? 	This is a type of personal protective equipment that people can use to protect themselves from airborne particles (like respiratory droplets from COVID19) and from liquid contaminating their face. 			FDA		
What is personal protective equipment (PPE)? 	Personal protective equipment (PPE) are types of equipment worn to minimize exposure to hazards that can cause workplace injuries or illness. Examples include gloves, safety glasses, shoes, earplugs or muffs, hard hats, respirators, coveralls, etc. This is coming up significantly during this pandemic because there is a shortage of face masks available for health workers, who are on the frontline. 			OSHA		
 It would be great to hear more about the symptoms. Cough and difficulty breathing isn’t too specific (especially during allergy season!). 						
should we quarantine our mail and packages for a few days/hours before bringing it inside?						
do viruses-evolutionary get weaker over time?						
Guidance for getting takeout and how to deal with the bags/containers would be helpful too.						
 If someone has been exposed to another individual who is positive, after how many days without symptoms can one be sure that he/she has not been also infected?						
How long should we self quarantine before moving into our elderly parents’ house? (Where we will continue to self quarantine)						
How long it lives on surfaces and what sorts of precautions we should take with packages and/or things we buy in the grocery store.						
